66.249.69.129 - - [27/Feb/2018:05:04:09 +0300] "GET /robots.txt HTTP/1.1" 200 3441 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.88 - - [27/Feb/2018:05:46:39 +0300] "GET / HTTP/1.1" 200 3441 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
178.121.213.113 - - [27/Feb/2018:05:58:41 +0300] "GET / HTTP/1.0" 200 11222 "http://villanet.ru/" "Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0"
66.249.69.129 - - [27/Feb/2018:06:43:41 +0300] "GET /robots.txt HTTP/1.1" 200 3441 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.129 - - [27/Feb/2018:06:43:41 +0300] "GET / HTTP/1.1" 200 3441 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.10 - - [27/Feb/2018:07:24:38 +0300] "GET / HTTP/1.1" 200 3441 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.144.92.53 - - [27/Feb/2018:07:57:18 +0300] "GET /payment/ HTTP/1.1" 200 3516 "http://yandex.ru/clck/jsredir?from=yandex.ru%3Bsearch%3Bweb%3B%3B&text=&etext=1710.2fuRfeQz3qqBsD6hrytHpQShTPJiKb2Ld1x7gpj8EPsMZpwFOjskV6Z6abAGljY3.c7b81c90b6c4405103127dce114042cd42ac105c&uuid=&state=_BLhILn4SxNIvvL0W45KSic66uCIg23qh8iRG98qeIXmeppkgUc0YGv9iZwKiy-E54GYiollMFA&data=UlNrNmk5WktYejR0eWJFYk1LdmtxanQ1OGN6aDZrM3JaSnFadDlYanBOUzBOa2c3Q2h3Q1hDVGRGeWNtWGJIT1R1S19RTE1LaVJNNjR0U3J4OU1KTTd5Q2VfZ0NrZ1E0TERVYjNCVzlMbEk&b64e=2&sign=8a684b6de7fbb768cd8c3f8942a608ab&keyno=0&cst=AiuY0DBWFJ7IXge4WdYJQYuwSQLovbTT0lxyn145l6At1UvyGJr9p6SomEybaDbAPRP-Zny1xOskgFPQQuXJojz3GJx1wanL7V8ap48tW8xrW_SV9hQ6vHPENuj7dgvNHGXS37e0_FuIREPYZB3Rw9Pa2HzS-UZU&ref=orjY4mGPRjk5boDnW0uvlrrd71vZw9kp5uQozpMtKCVLVIUOk4qiEKsbhe_1C4JXHDi647u-OlpcEkr-X_CHmFd2UynlPdfqiQABG_XQyxi8iUmnj6tyhg&l10n=ru&cts=1519707329451&mc=4.81473497088" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
37.144.92.53 - - [27/Feb/2018:07:57:18 +0300] "GET /files/request.js HTTP/1.1" 200 659 "http://villanet.ru/payment/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
37.144.92.53 - - [27/Feb/2018:07:57:18 +0300] "GET /files/main.css HTTP/1.1" 200 436 "http://villanet.ru/payment/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
37.144.92.53 - - [27/Feb/2018:07:57:18 +0300] "GET /files/jquery-1.4.2.min.js HTTP/1.1" 200 72174 "http://villanet.ru/payment/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
157.55.39.243 - - [27/Feb/2018:08:27:38 +0300] "GET /payment/ HTTP/1.1" 200 3516 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
